ADR_CP	ADR_VILLE	ADR_PAYS	ID_ANO
0	INCONNUE	FR	43987688
95801	CERGY	FR	83678172
95430	AUVERS SUR OISE	FR	3143098
64000	PAU	FR	71247793
64000	PAU	FR	80581848
51390	JOUY-LES-REIMS	FR	1693994
95550	BESSANCOURT	FR	94056831
0	INCONNUE	FR	52938478
0	INCONNUE	FR	12679173
33000	BORDEAUX	FR	28663080
95800	CERGY	FR	6506153
0	INCONNUE	FR	81521919
95620	PARMAIN	FR	63897848
0	INCONNUE	FR	63627538
78500	SARTROUVILLE	FR	57446777
78950	GAMBAIS	FR	88450706
64121	MONTARDON	FR	68243825
0	INCONNUE	FR	70293293
0	INCONNUE	FR	33290817
95000	CERGY	FR	26704940
0	INCONNUE	FR	43349179
0	INCONNUE	FR	54068927
95800	CERGY LE HAUT	FR	72917481
95880	ENGHIENS LES BAINS	FR	31159775
0	INCONNUE	SE	9258886
60300	AVILLY SAINT LEONARD	FR	95169505
92500	RUEIL MALMAISON	FR	84659188
64420	ARTIGUELOUTAN	FR	84390059
0	INCONNUE	FR	97319175
0	INCONNUE	FR	7859280
33440	AMBARES	FR	9386117
0	INCONNUE	FR	89317072
38000	GRENOBLE	FR	80156111
0	INCONNUE	FR	42997214
95230	SOISY SOUS MONTMORENCY	FR	38627623
95014	CERGY PONTOISE	FR	33637589
78500	SARTROUVILLE	FR	7260694
64000	PAU	FR	33642877
0	INCONNUE	FR	75146905
93220	GAGNY	FR	77668955
95220	HERBLAY	FR	68136584
18000	BOURGES	FR	51279704
78700	CONFLANS STE HONORINE	FR	1822894
92150	SURESNES	FR	99268852
95000	CERGY	FR	21076334
78170	LA CELLE ST CLOUD	FR	23133390
91230	MONTGERON	FR	96202001
78630	orgeval	FR	98587671
94000	CRETEIL	FR	6583990
78780	MAURECOURT	FR	41199180
0	INCONNUE	FR	33930668
75019	PARIS	FR	22474319
92300	LEVALLOIS PERRET	FR	1731363
78260	ACHERES	FR	92109025
94120	FONTENAY SOUS BOIS	FR	75810195
64000	PAU	FR	53246572
0	DEN HAAG	NL	78847677
95220	HERBLAY	FR	87802285
78260	ACHERES	FR	55637852
95800	CERGY SAINT CHRISTOPHE	FR	77901023
92120	MONTROUGE	FR	9553273
64000	PAU	FR	3442949
0	INCONNUE	FR	42255550
78570	CHANTELOUP LES VIGNES	FR	92835283
0	INCONNUE	FR	71660293
92250	LA GARENNE COLOMBES	FR	45133775
78600	Maisons-Laffitte	FR	15159508
93250	VILLEMOMBLE	FR	71158541
95000	Cergy	FR	97270414
95270	ST MARTIN DU TERTRE	FR	32593681
95110	SANNOIS	FR	66119661
95490	VAUREAL	FR	36380409
0	INCONNUE	FR	21572997
28200	Marboué	FR	35113709
11000	CARCASSONNE	FR	25973792
95800	CERGY LE HAUT	FR	64425512
0	INCONNUE	FR	77202315
75018	PARIS	FR	69119482
0	ARUE	PF	29747446
75013	PARIS	FR	15842875
95370	MONTIGNY LES CORMEILLES	FR	36368685
78500	SARTROUVILLE	FR	18589857
95000	Cergy	FR	6864378
59380	ARMBOUTS CAPPEL	FR	99050537
95490	VAUREAL	FR	99968304
64140	Billère	FR	85196312
64140	Billère	FR	42563644
64170	SERRES ST MARIE	FR	59003787
95370	MONTIGNY LES CORMEILLES	FR	30799499
95000	Cergy	FR	94265474
78700	CONFLANS STE HONORINE	FR	11538612
94100	ST MAUR DES FOSSES	FR	16813966
64000	Pau	FR	37085825
95000	CERGY	FR	17402454
64000	Pau	FR	70504238
95390	SAINT PRIX	FR	39796877
95380	LOUVRES	FR	96413479
92700	COLOMBES	FR	16982400
0	INCONNUE	FR	70427393
95000	CERGY	FR	18346748
64110	Mazeres Lezons	FR	55727070
95000	NEUVILLE SUR OISE	FR	62321661
95380	LOUVRES	FR	34968079
64110	GELOS	FR	28156986
75014	PARIS 14EME ARRONDISSEMENT	FR	76312889
0	INCONNUE	FR	59904459
0	ARIANA	TN	86899830
93100	Montreuil	FR	78933677
78600	MAISONS-LAFFITTE	FR	61228507
6670	LEVENS	FR	5557641
95000	CERGY	FR	69089446
75009	Paris	FR	15216361
92600	ASNIERES SUR SEINE	FR	6392142
75014	PARIS	FR	62502229
78570	ANDRESY	FR	76951559
91700	STE GENEVIEVE DES BOIS	FR	9521577
81100	CASTRES	FR	88639260
78150	Le chesnay	FR	84819193
64000	PAU	FR	51839070
0	INCONNUE	FR	2459792
78700	CONFLANS STE HONORINE	FR	39399249
93100	MONTREUIL	FR	26698119
60175	VILLENEUVE LES SABLONS	FR	87972506
0	INCONNUE	FR	34356239
0	INCONNUE	FR	49996135
6810	AURIBEAU SUR SIAGNE	FR	36623898
78114	MAGNY-LES-HAMEAUX	FR	76177284
64000	PAU	FR	17986476
95280	JOUY-LE-MOUTIER	FR	52096109
75013	PARIS 13EME ARRONDISSEMENT	FR	96401183
0	INCONNUE	FR	82772259
0	INCONNUE	FR	32929386
0	INCONNUE	FR	31441143
92600	Asnière	FR	64715525
0	appartement 313	FR	43999860
64000	PAU	FR	12681573
95220	HERBLAY	FR	78494314
24750	Boulazac	FR	93764206
75002	PARIS	FR	77984214
64320	IDRON	FR	61196811
75011	PARIS	FR	90753952
0	INCONNUE	FR	11653090
63160	CHAS	FR	74220148
94210	LA VARENNE	FR	37191640
0	95800	FR	56767703
75018	PARIS	FR	88490170
95000	CERGY	FR	26335543
95000	Cergy	FR	25725085
95150	TAVERNY	FR	2221648
95420	MAGNY-EN-VEXIN	FR	22343308
78100	SAINT GERMAIN EN LAYE	FR	42256668
0	INCONNUE	FR	35812728
0	INCONNUE	FR	43680518
0	Choix	FR	58399899
0	INCONNUE	FR	52702987
0	INCONNUE	FR	5723205
0	INCONNUE	FR	98945559
73100	AIX LES BAINS	FR	11145364
0	INCONNUE	FR	46143461
95160	MONTMORENCY	FR	28408997
0	INCONNUE	FR	56305642
0	INCONNUE	FR	69672089
0	INCONNUE	FR	11863063
0	INCONNUE	FR	92669649
95000	CERGY	FR	70273165
92420	VAUCRESSON	FR	13089306
78360	MONTESSON	FR	27897934
0	INCONNUE	FR	84886455
78670	VILLENNES SUR SEINE	FR	56266436
64160	MORLAAS	FR	54935773
92400	COURBEVOIE	FR	70718387
35680	MOULINS	FR	79393212
0	INCONNUE	FR	96472283
0	INCONNUE	FR	26059218
95380	Puiseux en France	FR	39651431
0	INCONNUE	FR	96166952
0	INCONNUE	FR	15188289
64000	PAU	FR	14308049
0	INCONNUE	FR	60081323
95800	CERGY	FR	52217781
22360	LANGUEUX	FR	58967205
95000	CERGY	FR	18433953
