CODE_POSTAL,VILLE,PAYS,LAT,LON
95014,CERGY-PONTOISE,FRANCE,49.050966,2.100645
95004,CERGY-PONTOISE CEDEX,FRANCE,49.050966,2.100645
95015,CERGY-PONTOISE CEDEX,FRANCE,49.050966,2.100645
95000,CERRGY,FRANCE,49.035617,2.060325
92320,CHÂTILLON,FRANCE,48.804689,2.289387
60230,CHAMBLY,FRANCE,49.165835,2.246075
78240,CHAMBOURG,FRANCE,47.181845,0.967883
94500,CHAMPIGNY SUR MARNE,FRANCE,48.817049,2.515556
77420,CHAMPS SUR MARNE,FRANCE,48.852775,2.602651
78570,CHANTELOUP-LES-VIGNES,FRANCE,48.978825,2.030051
94220,CHARENTON LE PONT,FRANCE,48.8193107,2.4162805
,CHARLEROI,BELGIQUE,50.4108095,4.444643
28008,CHARTRES CEDEX,FRANCE,48.443854,1.489012
35131,CHARTRES DE BRETAGNE,FRANCE,48.040898,-1.707289
72500,CHATEAU DU LOIR,FRANCE,47.692668,0.418068
17340,CHATELAILLON-PLAGE,FRANCE,46.069676,-1.088543
92290,CHATENAY-MALABRY,FRANCE,48.771896,2.270748
92320,CHATILLON,FRANCE,48.804689,2.289387
78400,CHATOU,FRANCE,48.896391,2.160098
78401,CHATOU,FRANCE,48.896391,2.160098
95560,CHAUVRY,FRANCE,49.055486,2.270137
92370,CHAVILLE,FRANCE,48.808026,2.192418
,CHENE-BOURGERIES,SUISSE,46.1983939,6.1851258
,CHENGDU,CHINE,30.572815,104.066801
,CHENGDU,CHINA,30.572815,104.066801
94330,CHENNEVIERES SUR MARNE,FRANCE,48.796124,2.53507
21800,CHEVIGNY SAINT SAUVEUR,FRANCE,47.302245,5.139998
78460,CHEVREUSE,FRANCE,48.707733,2.0406559
77173,CHEVRY COSSIGNY,FRANCE,48.725095,2.659046
91380,CHILLY MAZARIN,FRANCE,48.705134,2.310271
49300,CHOLET,FRANCE,47.059407,-0.879787
38121,CHONAS L AMBALLAN,FRANCE,45.460615,4.811974
64500,CIBOURE,FRANCE,43.387537,-1.675432
92140,CLAMART,FRANCE,48.799815,2.257289
92141,CLAMART,FRANCE,48.799815,2.257289
92147,CLAMART CEDEX,FRANCE,48.799815,2.257289
63000,CLERMONT FERRAND,FRANCE,45.777222,3.087025
92110,CLICHY,FRANCE,48.904526,2.304768
92700,COLOMBES,FRANCE,48.9220615,2.2533313
92702,COLOMBES CEDEX,FRANCE,48.9220615,2.2533313
92707,COLOMBES CEDEX,FRANCE,48.9220615,2.2533313
92715,COLOMBES CEDEX,FRANCE,48.9220615,2.2533313
31772,COLOMIERS CEDEX,FRANCE,43.612189,1.336579
,COLUMBUS  MS,USA,33.4956744,-88.4272627
77380,COMBS LA VILLE,FRANCE,48.66602,2.55769
29900,CONCARNEAU,FRANCE,47.872834,-3.920734
87920,CONDAT SUR VIENNE,FRANCE,45.796888,1.236574
78600,CONFLANS,FRANCE,49.000275,2.09178
78700,CONFLANS SAINT HONORINE,FRANCE,49.000275,2.09178
78700,CONFLANS SAINTE HONORINE,FRANCE,49.000275,2.09178
78700,CONFLANS STE HONORINE,FRANCE,49.000275,2.09178
78700,CONFLANS-SAINTE-HONORINE,FRANCE,49.000275,2.09178
,CORK,IRELAND,51.8985143,-8.4756035
95240,CORMEILLES EN PARISIS,FRANCE,48.973526,2.201292
95830,CORMEILLES EN VEXIN,FRANCE,49.116418,2.021989
