ADR_CP,ADR_VILLE,ADR_PAYS,ID_ANO
95800.0,CERGY ST CHRISTOPHE,FR,2814002
95000.0,Cergy,FR,9262607
,,FR,88488717
93160.0,NOISY LE GRAND,FR,95066771
95000.0,Cergy,FR,34717133
,,FR,1640886
,,FR,40027646
,,FR,53216396
,,FR,45671245
92600.0,ASNIERES SUR SEINE,FR,90419759
95620.0,PARMAIN,FR,83743219
64000.0,PAU,FR,57473115
64000.0,PAU,FR,31300102
32300.0,MIRANDE,FR,45973096
92700.0,COLOMBES,FR,12932707
,,FR,99437039
95230.0,SOISY SOUS MONTMORENCY,FR,39581630
95230.0,SOISY SOUS MONTMORENCY,FR,80518863
,Province d'El Jadida,MA,57983277
93200.0,ST DENIS,FR,46079911
95000.0,CERGY PONTOISE,FR,84484450
,,FR,73217852
95000.0,CERGY,FR,92580530
63830.0,DURTOL,FR,19591633
92300.0,LEVALLOIS PERRET,FR,9045300
,,FR,65012365
95000.0,CERGY,FR,22759568
,,FR,87394253
83210.0,SOLLIES PORT,FR,78844326
,,FR,94616019
75017.0,PARIS,FR,37674773
92400.0,COURBEVOIE,FR,67751773
95330.0,DOMONT,FR,96198428
78700.0,CONFLANS-SAINTE-HONORINE,FR,57614849
95000.0,CERGY,FR,73438712
,,FR,84832653
64000.0,PAU,FR,11917761
94120.0,FONTENAY SOUS BOIS,FR,12645774
,CASABLANCA,MA,43002674
75002.0,PARIS,FR,51988164
75013.0,PARIS,FR,60903084
95240.0,CORMEILLES-EN-PARISIS,FR,88398379
94380.0,BONNEUIL-SUR-MARNE,FR,68324739
78955.0,CARRIERES-SOUS-POISSY,FR,94261286
95000.0,CERGY,FR,66151286
95014.0,Cergy,FR,69079885
95300.0,PONTOISE,FR,3295402
,,FR,79500250
95110.0,SANNOIS,FR,40332119
,,FR,49094603
,KORBA,TN,56158286
92400.0,COURBEVOIE,FR,20919180
92400.0,COURBEVOIE,FR,1867476
59000.0,LILLE,FR,7546181
92400.0,COURBEVOIE,FR,4710912
75012.0,PARIS 12EME ARRONDISSEMENT,FR,11859301
,,FR,74274972
78980.0,ST ILLIERS LA VILLE,FR,11248284
